,daily_return
2020-12-07,-0.0031218374746811773
2020-12-08,0.004349626312294763
2020-12-09,-0.013493143221806258
2020-12-10,-0.0005302122992934311
2020-12-11,-0.0017984591892378
2020-12-14,-0.0067556712257699
2020-12-15,0.020239548534970696
2020-12-16,0.0023144338438588984
2020-12-17,0.008348524851394834
2020-12-18,-0.00602906831772585
2020-12-21,-0.005403402433956129
2020-12-22,-0.002567731386499106
2020-12-23,0.0013084649859717245
2020-12-24,0.005795799038304205
2020-12-28,0.012846703495684753
2020-12-29,-0.0029014637387941634
2020-12-30,0.002100425845302145
2020-12-31,0.00758193777078755
2021-01-04,-0.020461102017886236
2021-01-05,0.010291546178212286
2021-01-06,0.008928121530275468
2021-01-07,0.022246194529737993
2021-01-08,0.008507340748672676
2021-01-11,-0.010151205899958915
2021-01-12,0.0002771925958020781
2021-01-13,0.00399997817128308
2021-01-14,-0.00529306988086884
2021-01-15,-0.010978066612782977
2021-01-19,0.011737930562751098
2021-01-20,0.020718413242432863
2021-01-21,0.0013276598299533315
2021-01-22,-0.005348623745521842
2021-01-25,0.005875738189162671
2021-01-26,-0.0023811961877958977
2021-01-27,-0.036700251519849715
2021-01-28,0.012861027688966931
2021-01-29,-0.03006927476740715
2021-02-01,0.024928298224570565
2021-02-02,0.021171014652288343
2021-02-03,0.0011397884698617577
2021-02-04,0.017008563761907423
2021-02-05,0.0058644029903217815
2021-02-08,0.010793304441963159
2021-02-09,-0.0010385120899346401
2021-02-10,-0.000693111571886318
2021-02-11,0.002382829955679755
2021-02-12,0.00736988831393861
2021-02-16,-0.0013387107268831634
2021-02-17,0.00030470018023001075
2021-02-18,-0.006423734976819396
2021-02-19,-0.002688785745389921
2021-02-22,-0.011577074403220566
2021-02-23,0.0017819536377053024
2021-02-24,0.016489169868713426
2021-02-25,-0.036183444973424884
2021-02-26,-0.007768523995010357
2021-03-01,0.03632064001453952
2021-03-02,-0.011744723905744358
2021-03-03,-0.019908092541659074
2021-03-04,-0.01860214449947959
2021-03-05,0.027555499258104542
2021-03-08,-0.007507768402153537
2021-03-09,0.021376354136916097
2021-03-10,0.00929737198131233
2021-03-11,0.015168852963767488
2021-03-12,0.0019806534909766692
2021-03-15,0.008905885191429897
2021-03-16,-0.0019316534032817524
2021-03-17,0.005074991035565101
2021-03-18,-0.021864238456877606
2021-03-19,-0.002815296023166414
2021-03-22,0.011937861557397645
2021-03-23,-0.011845774090822414
2021-03-24,-0.007664729316223507
2021-03-25,0.00839826640983068
2021-03-26,0.024133168534586934
2021-03-29,-0.0007974609704865855
2021-03-30,-0.004019196496324407
2021-03-31,0.006040380978970327
2021-04-01,0.016158930466565823
2021-04-05,0.021489871503271994
2021-04-06,-0.0009253318927844646
2021-04-07,0.001695954395704935
2021-04-08,0.007080574619384183
2021-04-09,0.01086561401211641
2021-04-12,0.00050719987814265
2021-04-13,0.004405620533403231
2021-04-14,-0.005162183089012374
2021-04-15,0.01607436484999516
2021-04-16,0.004973809869754952
2021-04-19,-0.007409528280613676
2021-04-20,-0.011022131826115033
2021-04-21,0.014153668455391255
2021-04-22,-0.013739338317465632
2021-04-23,0.016224066405138314
2021-04-26,0.003091431573647907
2021-04-27,-0.00036237131788472446
2021-04-28,-0.0004710804397991876
2021-04-29,0.009519378868143158
2021-04-30,-0.009895556532444316
2021-05-03,0.0031956930869358135
2021-05-04,-0.00929375514432238
2021-05-05,0.00042932155810551084
2021-05-06,0.011938756599055434
2021-05-07,0.010877415938144197
2021-05-10,-0.014893366607194458
2021-05-11,-0.013426832055014193
2021-05-12,-0.03190718366898263
2021-05-13,0.017978725415717788
2021-05-14,0.022993428358910183
2021-05-17,-0.0038567540906488174
2021-05-18,-0.012962634881244972
2021-05-19,-0.003972364354826097
2021-05-20,0.01609678959035612
2021-05-21,-0.0012675303926358628
2021-05-24,0.015251842751475087
2021-05-25,-0.003368019616515705
2021-05-26,0.0029371571983855204
2021-05-27,0.0007477248515975975
2021-05-28,0.0026436286820638254
2021-06-01,-0.0013609056054398661
2021-06-02,0.002319394949015252
2021-06-03,-0.005607107882125407
2021-06-04,0.013679262072608523
2021-06-07,-0.00149504984903851
2021-06-08,0.00028031602781044537
2021-06-09,-0.0022776900142918778
2021-06-10,0.006932677099466233
2021-06-11,0.0024390318857692383
2021-06-14,0.0033192968485014295
2021-06-15,-0.0027915258563307233
2021-06-16,-0.008414480443323135
2021-06-17,-0.0005371407090781545
2021-06-18,-0.020275201021125656
2021-06-21,0.021434089820929113
2021-06-22,0.007979999278436201
2021-06-23,-0.0018479236237551656
2021-06-24,0.008833975167606334
2021-06-25,0.005288361791846574
2021-06-28,0.0029840067762117116
2021-06-29,0.000767800999696222
2021-06-30,0.0012226629762002394
2021-07-01,0.008265421187900102
2021-07-02,0.01142537544190383
2021-07-06,-0.002772073361994565
2021-07-07,0.005261657771727734
2021-07-08,-0.01226184960702773
2021-07-09,0.015972776796042164
2021-07-12,0.00533315686779181
2021-07-13,-0.00515313865937398
2021-07-14,0.0021984730527871087
2021-07-15,-0.005162873729917173
